sp_no;depth;Fep;Alp;Fed;Ald;Sio;Feo;Alo;PO4_ret
1;1;1793;7697;13785;11263;8216;10640;21729;95
1;2;1566;4941;14915;8222;12400;12435;27900;96
1;3;892;3485;16719;6254;15700;13296;30123;97
1;4;532;3194;20435;7165;23097;15208;42945;99
3;1;2512;7813;12496;10141;5299;10372;17114;91
3;2;1458;5203;14199;8874;10242;12176;25602;96
3;3;977;3542;17172;7139;14917;14071;30940;98
3;4;332;2810;18842;6439;22721;13557;41925;99
5;1;1052;6127;13740;9805;8639;11752;23187;94
5;2;553;2961;15330;6423;12406;12918;26283;96
5;3;212;1909;18461;5740;22203;14980;36786;99
5;4;212;2040;18556;6171;24670;14892;41537;99
6;1;2296;6575;11456;9136;3438;10557;13602;87
6;2;1466;4217;13199;7776;7278;11267;18213;92
6;3;494;2225;13069;4784;10484;12323;21483;92
6;4;274;2016;15650;4956;17561;13914;31355;98
7;1;1209;5993;11883;8138;8409;8814;20048;90
7;2;482;3164;13302;5408;14735;10650;29081;96
7;3;278;2115;14612;4460;17665;10854;30100;97
7;4;207;1568;17237;4561;25062;11915;37347;98
8;1;2749;8182;10404;9228;2579;9006;12089;87
8;2;2374;7224;11959;10594;6013;10985;18960;95
8;3;1032;3634;15033;6631;12529;13486;27652;98
8;4;422;3611;20889;7859;24605;14463;50510;99
9;1;3063;8330;12644;10010;4064;10410;15033;91
9;2;2714;6916;13582;9846;6565;11564;19210;94
9;3;1815;4406;17265;8375;12836;14413;29090;98
9;4;690;3340;22105;8066;21005;17363;41986;99
11;1;1977;7136;10682;8730;3206;8246;13118;86
11;2;947;3843;16051;7101;15244;13846;32100;98
11;3;323;2258;17863;5776;20676;13511;35714;98
11;4;250;2499;30148;10634;37027;12128;60742;100
13;1;1915;5885;8559;7448;2048;7301;9135;77
13;2;773;3760;11851;7418;11003;11553;27007;97
13;3;302;2456;18698;7120;19264;15145;38499;99
13;4;255;2547;21862;7847;34602;9953;65074;100
14;1;852;4919;10997;6613;8188;8247;18801;85
14;2;667;2938;12945;4662;11827;9583;21767;85
14;3;468;2306;15368;4469;16312;9316;27481;90
14;4;189;1866;16184;4715;25222;9317;40788;96
18;1;926;4854;9994;7007;6037;6844;15296;86
18;2;549;2504;12917;4547;12115;9572;21488;87
18;3;274;1600;15284;3787;18203;11146;26362;91
18;4;197;1851;19491;5030;29246;10074;42653;97
20;1;2526;7592;13393;9480;6296;11134;18378;91
20;2;2526;6485;14380;9650;7899;11882;21676;95
20;3;1881;5183;14484;8830;9095;11967;23018;95
20;4;1045;3224;15279;6793;11086;11112;25086;94
26;1;822;5332;12182;8276;7231;7734;18874;90
26;2;454;3052;14979;6189;14845;10981;30974;98
26;3;231;2497;14988;6219;17892;10013;37277;99
26;4;211;2542;8559;4825;13109;5803;28606;96
29;1;2594;8590;15887;13840;4433;11528;17494;95
29;2;826;4241;17550;10112;11874;15077;30315;99
29;3;298;2862;25763;9879;25827;16492;51945;100
29;4;251;2439;21325;7583;15894;14175;32983;99
30;1;857;6842;13776;10087;7873;8203;21267;94
30;2;426;2529;14223;5358;12300;9355;25553;94
30;3;165;1202;5371;1989;8558;5287;16091;80
30;4;48;481;1491;867;2942;963;6115;54
31;1;506;3402;8103;4400;4925;5636;12398;69
31;2;385;2036;8359;3448;6532;6007;13532;64
31;3;341;1586;8679;2988;7207;5882;13335;73
31;4;184;1105;9264;2728;9329;6071;15594;77
32;1;523;4194;8461;5423;2793;4490;9434;68
32;2;557;3216;9008;4848;4508;5355;12423;78
32;3;526;2770;10677;4809;7359;6647;17583;86
32;4;332;2005;11280;4237;7452;6923;17463;86
33;1;1333;6914;15797;10288;10138;10415;25336;97
33;2;1014;4063;17797;7858;14397;12000;30261;98
33;3;489;2652;20479;6561;19950;13802;36307;99
33;4;276;2284;22278;6760;22695;13002;39335;99
36;1;1139;3444;24454;5802;4408;8616;11668;77
36;2;2068;7965;18539;14247;7846;14239;24409;97
36;3;650;3575;19967;8627;13627;15446;31202;99
36;4;248;2766;15702;5566;15715;11486;31113;99
36;5;308;3661;14340;4007;8886;10072;22235;94
38;1;279;1801;5039;2735;1856;3413;5934;47
38;2;442;2280;6104;3336;3246;4914;8150;56
38;3;309;1692;7966;3180;4609;5296;10231;69
38;4;366;1809;7866;3085;5413;5318;11392;70
39;1;2435;6269;15831;8241;2566;9517;10208;82
39;2;1635;5085;17300;8628;7034;11248;18647;91
39;3;772;3240;18352;6595;9568;10877;21917;94
39;4;369;2560;19809;5538;10926;10692;22083;94
40;1;3336;7806;13594;10926;2980;11286;13725;93
40;2;1371;4305;19557;12131;14014;16868;35129;99
40;3;645;4460;25846;12580;23146;19311;52299;100
40;4;297;2533;26919;14945;24478;17039;54482;100
42;1;3965;9096;14051;10736;1559;12557;11849;91
42;2;2178;7160;16830;14701;9079;16238;29689;99
42;3;1471;5201;24518;16320;19652;20611;51927;100
42;4;744;3492;25122;13198;18051;18569;44530;100
43;1;2610;8741;15495;13017;4326;11919;17341;96
43;2;1143;4401;18251;10938;10293;14077;27153;99
43;3;269;2460;24055;9232;20724;16738;40228;100
43;4;222;1764;24910;12301;30575;16090;57706;100
